WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
0.597,48.3,116.4,41.6,90,46.2,15.3,41.5,36.9,17.9,23.1,77.3,10.6,36.4,47,24.5,12.8,6.3,5,4,19,20.8,6,115.8,110,5.8,58.8,1.91,17.6,27.5,73.8,51,12.7,54.8,58.1,99.78,52.6
0.695,48.3,117.7,44,89.8,49.1,13.3,34.4,38.5,16.3,20.4,80.1,9.7,36.5,46.2,29.4,14.3,7.6,6.4,3.6,21.4,19.5,6.5,115,108.6,6.5,66.8,2.06,20.4,25.7,72.7,50.5,13.9,56.5,59.6,101.73,54.6
0.646,48.4,113.9,39.2,87.4,44.9,16.1,45.4,35.6,19.3,24.4,79.1,10.2,31.9,42.1,21.2,13.3,8.5,4.9,4.5,22,20,4.8,114.9,110.1,4.8,54.1,1.59,15.9,26.9,70,48.1,13.5,54.2,58.1,98.39,49.8
0.817,48.2,115.9,43.1,87.1,49.5,12,31.2,38.3,17.8,22.6,78.8,9.4,35,44.4,30.4,14.8,9.6,6.8,3.8,19.3,19.4,11.6,114.8,103.4,11.4,70.5,2.06,21.2,27.2,70.9,50.4,14.6,56.3,59.7,100.37,57.9
0.793,48.2,112.4,38.7,84.2,46,15.3,42.3,36.2,19.6,25.1,78.1,9,34.5,43.5,21.5,13.8,8.5,4.8,4.4,19.5,20.4,8.5,114.1,105.7,8.4,55.7,1.56,16.4,25.4,75,50.3,14.1,55.1,59,98.02,53.1
0.671,48.2,115.3,40.3,87.2,46.2,14.4,40.3,35.7,20.3,26.5,76.6,10.9,33.5,44.4,25.2,15.1,8.2,4.3,5,19.9,20.4,5.8,114.1,108.4,5.7,62.6,1.67,18.1,28.1,71.7,49.9,15,54.5,58.3,100.55,51.6
0.659,48.1,110.2,40.7,82.8,49.2,8.9,21.6,41.2,19.9,25.8,77,11.1,31.9,43,23.3,14.8,5.8,5.1,4.5,20.9,21.8,4.9,113.9,109.1,4.8,57.3,1.58,17.5,31.1,67.3,50.3,15.2,54.6,58.5,96.43,53.6
0.646,48.4,114.7,42.3,90.6,46.7,11,30.7,35.9,19,23.3,81.4,11.8,36.2,48,23,13.8,6.7,5,5.1,20.4,20.7,4.2,113.7,109.5,4.2,54.4,1.66,16.6,30.8,73.9,52.6,13.7,52.8,56.8,99.96,52.1
0.89,48.5,114.9,42.5,87.3,48.7,13.1,31.6,41.6,16.7,21.8,76.3,10,36.2,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8,10.8,113.5,102.8,10.6,68,1.91,20.4,26.7,72,50.7,15,56.3,59.3,100.24,56.7
0.732,48.2,118.1,43.4,91.1,47.6,13.5,38.2,35.3,17.9,23.2,77.3,9.3,40.4,49.7,26,13.9,7.5,5.9,4.8,19.6,20.2,8.9,113.5,104.9,8.6,60.1,1.88,18.3,25,75.7,51.6,13.3,55,58.3,103.57,55.3
